ファイルパス,タイトル,タイトルの日本語訳
_posts/2025-12-29-libgodc-write-go-programs-for-sega-dreamcast.md,Libgodc: Write Go Programs for Sega Dreamcast,Libgodc：セガ・ドリームキャスト用のGoプログラムを書く
_posts/2025-12-29-linux-daw-help-linux-musicians-to-quickly-and-easi.md,Linux DAW: Help Linux musicians to quickly and easily find the tools they need,Linux DAW：Linuxミュージシャンが必要なツールを素早く簡単に見つけられるように支援
_posts/2025-12-29-list-of-domains-censored-by-german-isps.md,List of domains censored by German ISPs,ドイツのISPによって検閲されているドメインのリスト
_posts/2025-12-29-llms-are-not-fun.md,LLMs Are Not Fun,LLMは楽しくない
_posts/2025-12-29-louis-gerstner-the-man-who-saved-ibm-dies-at-83.md,"Louis Gerstner, the man who saved IBM, dies at 83",IBMを救った男、ルイス・ガースナー氏が83歳で死去
_posts/2025-12-29-manusai-joins-meta.md,ManusAI Joins Meta,ManusAIがMetaに参画
_posts/2025-12-29-measuring-out-of-sync-clocks-on-the-internet.md,Measuring out-of-sync clocks on the Internet,インターネット上の同期のずれた時計を測定する
_posts/2025-12-29-metas-ads-tools-started-switching-out-top-performi.md,Meta's ads tools started switching out top-performing ads with AI-generated ones,Metaの広告ツールが、パフォーマンスの高い広告をAI生成のものに置き換え始めた
_posts/2025-12-29-mit-battlecode-programming-competition-starts-in-1.md,MIT Battlecode (programming competition) starts in 1 week!,MIT Battlecode（プログラミング競技）が1週間後に開始！
_posts/2025-12-29-mit-scientists-strip-cancer-of-its-sugar-shield.md,MIT scientists strip cancer of its sugar shield,MITの科学者、癌から「糖の盾」を剥ぎ取る
_posts/2025-12-29-more-than-20-of-youtubes-feed-is-now-ai-slop-repor.md,"More than 20% of YouTube's feed is now \""AI slop,\"" report finds",YouTubeフィードの20%以上が現在「AIスロップ」であるとの報告
_posts/2025-12-29-mrbeasts-former-manager-reed-duchscher-says-the-ag.md,"MrBeast's former manager Reed Duchscher, says the age of social-media superstars is fading: \""As social-media algorithms get better at tailoring content to individual user interests, the opportunity for stars to show up across feeds becomes much harder,\"" Duchscher said.",MrBeastの元マネージャー、リード・ダッシャー氏、ソーシャルメディア・スーパースターの時代は終わりつつあると語る
_posts/2025-12-29-my-first-meshtastic-network.md,My First Meshtastic Network,私の最初のMeshtasticネットワーク
_posts/2025-12-29-npm-needs-an-analog-to-pnpms-minimumreleaseage-and.md,npm needs an analog to pnpm's minimumReleaseAge and yarn's npmMinimalAgeGate,npmにはpnpmのminimumReleaseAgeやyarnのnpmMinimalAgeGateに相当するものが必要だ
_posts/2025-12-29-on-insight-debt.md,On insight debt,「インサイト負債」について
_posts/2025-12-29-one-incident-onion-tech-debt-and-layoffs-postmorte.md,"One incident, onion tech debt and layoffs - postmortem to gauge metric problem",一つのインシデント、玉ねぎのような技術的負債、そしてレイオフ - 指標の問題を測定するためのポストモーテム
_posts/2025-12-29-quickly-restoring-1m-files-from-backup.md,Quickly restoring 1M+ files from backup,バックアップから100万以上のファイルを素早く復元する
_posts/2025-12-29-sauron-the-high-end-home-security-startup-for-supe.md,"Sauron, the high-end home security startup for “super premium” customers, plucks a new CEO out of Sonos",超高級顧客向けのハイエンド・ホームセキュリティ・スタートアップSauron、Sonosから新CEOを抜擢
_posts/2025-12-29-show-hn-aroma-every-tcp-proxy-is-detectable-with-r.md,Show HN: Aroma: Every TCP Proxy Is Detectable with RTT Fingerprinting,Show HN: Aroma：すべてのTCPプロキシはRTTフィンガープリンティングで検出可能
_posts/2025-12-29-show-hn-my-app-just-won-best-ios-japanese-learning.md,Show HN: My app just won best iOS Japanese learning tool of 2025 award,Show HN: 私のアプリが2025年のベストiOS日本語学習ツール賞を受賞しました
_posts/2025-12-29-show-hn-my-not-for-profit-search-engine-with-no-ad.md,"Show HN: My not-for-profit search engine with no ads, no AI, & all DDG bangs",Show HN: 広告なし、AIなし、DDG bangs対応の非営利検索エンジン
_posts/2025-12-29-show-hn-see-what-readers-who-loved-your-favorite-b.md,Show HN: See what readers who loved your favorite book/author also loved to read,Show HN: お気に入りの本や著者を愛する読者が他に何を読んでいるかを見る
_posts/2025-12-29-show-hn-stop-claude-code-from-forgetting-everythin.md,Show HN: Stop Claude Code from forgetting everything,Show HN: Claude Codeがすべてを忘れてしまうのを防ぐ
_posts/2025-12-29-show-hn-superset-terminal-to-run-10-parallel-codin.md,Show HN: Superset – Terminal to run 10 parallel coding agents,Show HN: Superset – 10個のコーディングエージェントを並列実行するターミナル
_posts/2025-12-29-show-hn-vibe-coding-a-bookshelf-with-claude-code.md,Show HN: Vibe coding a bookshelf with Claude Code,Show HN: Claude Codeで本棚を「バイブス・コーディング」する
_posts/2025-12-29-show-hn-z80-lm-a-conversational-ai-that-fits-in-40.md,"Show HN: Z80-μLM, a 'Conversational AI' That Fits in 40KB",Show HN: Z80-μLM、40KBに収まる「対話型AI」
_posts/2025-12-29-slaughtering-competition-problems-with-quantifier.md,Slaughtering Competition Problems with Quantifier Elimination,限定記号消去法で競技問題を圧倒する
_posts/2025-12-29-solid-state-ev-battery-maker-to-go-public-after-su.md,"Solid-state EV battery maker to go public after successful 745-mile test in $1,100,000,000 deal",全固体EVバッテリーメーカー、745マイルのテスト成功後、11億ドルの取引で上場へ
_posts/2025-12-29-static-allocation-with-zig.md,Static Allocation with Zig,Zigによる静的割り当て
_posts/2025-12-29-staying-ahead-of-censors-in-2025.md,Staying ahead of censors in 2025,2025年に検閲の先を行く
_posts/2025-12-29-stepping-down-as-maintainer-after-10-years.md,Stepping down as maintainer after 10 years,10年務めたメンテナを退任
_posts/2025-12-29-teslas-4680-battery-supply-chain-collapses-as-part.md,Tesla's 4680 battery supply chain collapses as partner writes down deal by 99%,テスラの4680バッテリー・サプライチェーンが崩壊、パートナーが取引を99%減損
_posts/2025-12-29-teslas-austin-robotaxi-fleet-is-only-34-cars-jalop.md,Tesla's Austin Robotaxi Fleet Is Only 34 Cars - Jalopnik,テスラのオースティン・ロボタクシー艦隊はわずか34台 - Jalopnik
_posts/2025-12-29-the-future-of-software-development-is-software-dev.md,The future of software development is software developers,ソフトウェア開発の未来はソフトウェア開発者である
_posts/2025-12-29-the-mythical-man-month-at-50.md,The Mythical Man-Month at 50,『人月の神話』50周年
_posts/2025-12-29-the-rise-and-fall-of-robotstxt.md,The rise and fall of robots.txt,robots.txtの興亡
_posts/2025-12-29-the-second-great-error-model-convergence.md,The Second Great Error Model Convergence,第二の偉大なるエラーモデルの収束
_posts/2025-12-29-the-silicon-valley-stack-doesnt-work-here-why-afri.md,The Silicon Valley Stack Doesn’t Work Here: Why Africa Will Lead the Post-Bloat Web,シリコンバレーのスタックはここでは通用しない：なぜアフリカが「脱・肥大化」ウェブをリードするのか
_posts/2025-12-29-they-graduated-from-stanford-due-to-ai-they-cant-f.md,"They graduated from Stanford. Due to AI, they can’t find a job",彼らはスタンフォードを卒業した。AIのせいで仕事が見つからない
_posts/2025-12-29-this-will-be-a-stressful-job-sam-altman-offers-555.md,‘This will be a stressful job’: Sam Altman offers $555k salary to fill most daunting role in AI,「これはストレスの溜まる仕事になるだろう」：サム・アルトマン、AIで最も困難な役割に55万5千ドルの給与を提示
_posts/2025-12-29-uk-accounting-body-to-halt-remote-exams-amid-ai-ch.md,UK accounting body to halt remote exams amid AI cheating,英国の会計団体、AIによる不正行為を受けてリモート試験を停止
_posts/2025-12-29-usps-announces-changes-to-the-postmark-date-system.md,USPS Announces Changes to the Postmark Date System,米国郵便公社（USPS）、消印日付システムの変更を発表
_posts/2025-12-29-what-are-you-doing-this-week.md,What are you doing this week?,今週は何をしますか？
_posts/2025-12-29-what-does-the-software-engineering-job-market-look.md,What does the software engineering job market look like heading into 2026?,2026年に向けてソフトウェアエンジニアリングの求人市場はどうなるか？
_posts/2025-12-29-what-happens-when-you-convert-a-nan-to-uint-in-gol.md,What Happens when you convert a NAN to uint in Golang,GolangでNaNをuintに変換すると何が起こるか
_posts/2025-12-29-what-makes-goose-different-from-other-ai-coding-ag.md,What Makes Goose Different From Other AI Coding AgentsAI,Gooseが他のAIコーディングエージェントと何が違うのか
_posts/2025-12-29-when-someone-says-they-hate-your-product-with-a-bu.md,When someone says they hate your product with a burning passion,誰かがあなたの製品を激しく嫌っていると言ったとき
_posts/2025-12-29-which-humans.md,Which Humans?,どの人間か？
_posts/2025-12-29-why-are-we-worried-about-memory-access-semantics-f.md,Why are we worried about memory access semantics? Full barriers should be enough for anybody,なぜメモリアクセス・セマンティクスを心配するのか？フルバリアがあれば十分なはずだ
_posts/2025-12-29-why-i-think-valves-retiring-the-steam-deck-lcd.md,Why I Think Valve's Retiring the Steam Deck LCD,なぜValveがSteam Deck LCDを引退させると私が思うのか
_posts/2025-12-29-why-the-internet-is-bad-for-democracy-2005.md,Why the Internet Is Bad for Democracy (2005),なぜインターネットは民主主義に悪いのか (2005)
_posts/2025-12-29-worn-down-by-worry-parents-look-longingly-at-austr.md,"Worn Down by Worry, Parents Look Longingly at Australia’s Social Media Ban",不安に疲れ果てた親たちが、オーストラリアのソーシャルメディア禁止を羨望の眼差しで見る
_posts/2025-12-29-you-can-make-up-html-tags.md,You can make up HTML tags,HTMLタグは自分で作ることができる
